;;;Round 1;;;Totals;;;;;Shooting;;;Per Game;;;;Advanced;;;
Rk;Pk;Tm;Player;College;Yrs;G;MP;PTS;TRB;AST;FG%;3P%;FT%;MP;PTS;TRB;AST;WS;WS/48;BPM;VORP
1;1;DET;Cade Cunningham;Oklahoma State;1;21;674;331;131;96;.382;.322;.826;32.1;15.8;6.2;4.6;-0.5;-.032;-2.4;-0.1
2;2;HOU;Jalen Green;;1;18;555;252;56;42;.382;.278;.807;30.8;14.0;3.1;2.3;-0.5;-.041;-5.8;-0.5
3;3;CLE;Evan Mobley;USC;1;24;805;335;203;59;.482;.333;.775;33.5;14.0;8.5;2.5;2.3;.138;1.0;0.6
4;4;TOR;Scottie Barnes;Florida State;1;24;864;362;200;79;.489;.340;.723;36.0;15.1;8.3;3.3;2.1;.118;0.3;0.5
5;5;ORL;Jalen Suggs;Gonzaga;1;21;583;258;71;75;.339;.255;.763;27.8;12.3;3.4;3.6;-1.1;-.091;-6.8;-0.7
6;6;OKC;Josh Giddey;;1;24;710;250;161;140;.394;.247;.700;29.6;10.4;6.7;5.8;-0.1;-.006;-3.0;-0.2
7;7;GSW;Jonathan Kuminga;;1;16;114;53;26;5;.447;.133;.600;7.1;3.3;1.6;0.3;0.2;.072;-5.3;-0.1
8;8;ORL;Franz Wagner;Michigan;1;28;896;400;124;78;.453;.390;.791;32.0;14.3;4.4;2.8;1.4;.075;-1.0;0.2
9;9;SAC;Davion Mitchell;Baylor;1;27;689;260;68;94;.392;.299;.667;25.5;9.6;2.5;3.5;0.4;.026;-3.7;-0.3
10;10;NOP;Ziaire Williams;Stanford;1;19;339;90;28;12;.354;.246;.667;17.8;4.7;1.5;0.6;-0.1;-.021;-8.3;-0.5
11;11;CHO;James Bouknight;UConn;1;11;78;39;15;4;.424;.538;1.000;7.1;3.5;1.4;0.4;0.1;.078;-4.3;0.0
12;12;SAS;Joshua Primo;Alabama;1;8;59;16;6;4;.545;.500;;7.4;2.0;0.8;0.5;0.2;.180;4.1;0.1
13;13;IND;Chris Duarte;Oregon;1;26;766;346;105;55;.426;.343;.744;29.5;13.3;4.0;2.1;0.7;.046;-2.3;-0.1
14;14;GSW;Moses Moody;Arkansas;1;17;93;25;11;3;.393;.133;.500;5.5;1.5;0.6;0.2;0.1;.042;-6.2;-0.1
15;15;WAS;Corey Kispert;Gonzaga;1;24;301;92;43;12;.420;.265;.786;12.5;3.8;1.8;0.5;0.3;.046;-2.7;0.0
16;16;OKC;Alperen Şengün;;1;25;448;226;113;65;.507;.357;.711;17.9;9.0;4.5;2.6;1.4;.154;2.0;0.5
17;17;MEM;Trey Murphy III;Virginia;1;27;379;122;60;14;.366;.378;.900;14.0;4.5;2.2;0.5;0.4;.050;-4.1;-0.2
