,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted
1,DeAndrae Ross,Troy,7,11.5,67.1,16.9,34.5,36.11,0.5,0.364,0.222,3,187,0.76926388,0.0,113.707,-10.394,18.8571,0.5714,1.1429,1.4286,0.1429,0.0,3.2857,Wing G,No
2,Pooh Williams,Utah St.,33,64.5,105.6,18.7,48.1,52.4,0.8150000000000001,0.394,0.368,4,193,1.60468149,0.0,97.301,1.12516,26.0,0.1515,1.4848,2.0909,0.2121,0.09090000000000001,8.6667,Combo G,No
11,Dana Smith,Longwood,27,81.8,99.8,27.7,49.9,53.76,0.658,0.483,0.363,4,195,0.7738098800000001,0.0,106.301,-0.44103699999999996,32.7037,2.1481,4.9259,2.4074,0.8148000000000001,0.48150000000000004,17.5556,Wing F,No
26,Carlos Strong,Boston University,35,76.2,118.1,16.4,58.8,60.93,0.682,0.47800000000000004,0.47200000000000003,4,190,1.34038268,0.0,95.9093,6.07749,30.6857,1.3429,3.2286,1.8,1.6571,0.4,10.8571,Combo G,No
27,Sherrod Smith,Boston University,29,9.5,60.7,6.9,8.3,14.93,0.30000000000000004,0.1,0.0,4,193,5.9971016200000005,0.0,99.0118,-4.12849,4.6207,0.1379,0.5862,0.2069,0.1034,0.0345,0.1724,Wing G,No
28,Eulis Stephens,Detroit,31,31.6,110.2,13.9,51.3,55.91,0.673,0.611,0.182,4,193,1.12497585,0.0,99.3834,0.667967,13.5484,0.6774,1.2258,0.5806,0.3871,0.129,3.5806,Wing G,No
30,Brett Gifford,Albany,30,39.4,79.3,10.1,46.8,46.77,0.444,0.47500000000000003,0.0,4,210,0.62066827,0.0,101.019,-2.65868,16.9333,0.6333000000000001,2.6667,0.6000000000000001,0.4,0.8333,2.0667,C,No
31,Valdas Sirutis,Boston University,32,36.9,92.5,9.7,40.8,43.49,0.516,0.452,0.241,4,200,1.0,0.0,101.426,-1.64751,16.25,0.9688,1.5,0.5938,0.21880000000000002,0.0625,2.0312,Stretch 4,No
32,Corey Lowe,Boston University,32,75.7,91.5,28.9,46.3,49.32,0.657,0.41200000000000003,0.341,4,187,1.01492537,0.0,98.0933,0.94008,33.375,0.9688,3.5,4.25,1.25,0.4062,15.0312,Scoring PG,No
36,Patrick Bouli,Manhattan,31,70.9,99.1,10.0,47.2,50.96,0.909,0.381,0.34600000000000003,4,187,1.85721894,0.0,98.1056,1.8733400000000002,28.4839,0.3871,3.3226,2.0968,1.4194,0.1613,4.3871,Combo G,No
38,Antoine Pearson,Manhattan,31,59.0,97.0,20.3,42.8,48.18,0.655,0.427,0.28800000000000003,4,187,1.65000382,0.0,100.002,-0.18797799999999998,23.7097,0.3548,1.9032,2.129,1.2258,0.0645,7.9032,Scoring PG,No
41,T.J. Topercer,Navy,28,27.4,73.6,14.9,39.7,42.47,0.6920000000000001,0.625,0.182,4,200,0.37032046,0.0,103.781,-7.07418,11.892900000000001,0.5357000000000001,1.4286,0.35710000000000003,0.35710000000000003,0.0,2.25,Stretch 4,No
43,Darryl Crawford,Manhattan,31,83.0,100.6,25.5,44.1,49.96,0.745,0.447,0.276,4,195,1.02984319,0.0,98.6922,1.9595600000000002,33.3226,1.8065,4.5161,2.2258,1.1613,0.4516,14.7742,Wing G,No
46,Jabari Deshields,Alabama A&M,25,28.0,62.6,16.2,31.7,37.34,0.611,0.313,0.222,4,177,0.9428572,0.0,93.3142,-8.67756,11.24,0.36,0.84,1.32,0.72,0.04,1.48,Scoring PG,No
