,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted,Allstar
0,Charles Jenkins,Hofstra,32,92.4,123.2,28.7,57.7,62.93,0.8250000000000001,0.555,0.414,4,190,2.11262838,44.0,107.807,7.09443,37.4062,0.5,2.7188,4.6875,1.6562,0.625,22.5,Scoring PG,Yes,No
1,Vernon Macklin,Florida,37,59.7,107.5,24.3,59.3,57.77,0.451,0.593,0.0,4,208,0.47618489,52.0,97.7281,3.88301,24.4595,2.2162,3.1622,0.8108000000000001,0.3514,0.7027,11.5676,C,Yes,No
2,Ryan Reid,Florida St.,31,54.8,97.5,18.3,49.1,51.58,0.597,0.491,0.0,4,203,0.68623872,57.0,93.5205,2.50667,22.7097,1.871,2.0968,1.129,0.5806,0.5161,6.7742,C,Yes,No
3,Kyle Singler,Duke,37,86.9,112.3,23.5,49.1,53.64,0.806,0.497,0.321,4,203,0.8571278,33.0,94.0388,5.95265,34.7568,2.3784,4.4595,1.6216,0.9189,0.3243,16.8919,Wing F,Yes,No
4,Nolan Smith,Duke,37,85.1,114.0,30.8,50.8,56.4,0.8130000000000001,0.501,0.35,4,187,1.60168696,21.0,94.9421,7.92525,34.027,1.1892,3.2973,5.1081,1.2162,0.0811,20.6486,Scoring PG,Yes,No
5,E'Twaun Moore,Purdue,34,84.4,112.1,26.8,51.8,54.55,0.709,0.473,0.4,4,193,1.77052561,55.0,93.8872,9.05063,33.8824,1.5,3.6471,3.1765,1.2059,0.5294,18.0,Combo G,Yes,No
6,Jeremy Evans,Western Kentucky,34,65.3,129.2,17.3,65.6,66.82,0.6880000000000001,0.673,0.25,4,205,0.69446545,55.0,95.1372,8.08383,26.5,2.9706,3.9412,0.7353000000000001,0.8235,1.7941,10.0294,C,Yes,No
7,Derrick Caracter,UTEP,27,53.9,103.5,27.3,57.5,59.84,0.672,0.585,0.267,3,205,0.38959989,58.0,87.8534,4.15217,26.6667,2.6667,5.4074,1.1111,0.963,0.8519,14.0741,PF/C,Yes,No
8,Greivis Vasquez,Maryland,32,84.8,111.7,30.7,49.7,55.02,0.857,0.472,0.36,4,198,1.87964446,28.0,97.2737,9.25869,34.3125,1.1875,3.5312,6.3438,1.7188,0.3438,20.0312,Pure PG,Yes,No
9,Cole Aldrich,Kansas,36,66.4,116.9,20.2,56.2,59.61,0.679,0.562,0.0,3,210,0.55354846,11.0,82.6828,11.6948,26.75,3.0556,6.7778,0.8611000000000001,0.75,3.4722,11.2778,C,Yes,No
