,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,FT_per,twoP_per,TP_per,yr,ht,ast/tov,pick,drtg,bpm,mp,oreb,dreb,ast,stl,blk,pts,role,drafted,Rookies,Allstar_prediction
0,Isaiah Livers,Michigan,23,64.6,121.9,18.9,57.0,60.53,0.87,0.486,0.431,4,200,1.7692853,42,95.9651,9.32754,31.6087,1.087,4.913,2.0,0.5652,0.7391000000000001,13.087,Wing F,Yes,Yes,0
1,Sandro Mamukelashvili,Seton Hall,27,87.8,100.6,28.6,48.8,52.54,0.714,0.481,0.336,4,210,0.97752024,54,100.51,4.79842,35.5926,1.8519,5.7037,3.2222,1.0741,0.5556,17.5185,Wing F,Yes,Yes,0
2,Corey Kispert,Gonzaga,32,79.2,131.2,20.7,64.4,67.38,0.878,0.628,0.44,4,200,1.38095238,15,95.9101,9.90794,31.8125,0.9375,4.0312,1.8125,0.9062,0.4375,18.5938,Wing G,Yes,Yes,0
3,Jericho Sims,Texas,26,58.3,112.1,18.3,68.6,65.04,0.52,0.6910000000000001,0.0,4,208,0.4047294999999999,58,92.7025,6.58968,24.5385,2.1538,5.0769,0.6538,0.7308,1.0769,9.2308,C,Yes,Yes,0
4,Davion Mitchell,Baylor,30,80.8,122.1,21.6,61.3,62.0,0.652,0.5650000000000001,0.447,3,187,2.26030492,9,95.1321,9.22088,32.4667,0.4667,2.2,5.5,1.9,0.3667,14.0667,Pure PG,Yes,Yes,0
5,Luka Garza,Iowa,31,78.8,124.0,30.4,59.6,61.99,0.709,0.581,0.44,4,210,1.14893471,52,99.7365,10.746,31.6452,3.0,5.7419,1.7419,0.6774,1.6129,24.0968,PF/C,Yes,Yes,0
6,Herbert Jones,Alabama,33,67.9,103.3,24.3,48.1,52.89,0.715,0.47,0.351,4,203,1.16127313,35,89.826,8.9201,27.2727,2.4848,4.0909,3.2727,1.7273,1.1212,11.2424,Wing F,Yes,Yes,0
7,Marcus Zegarowski,Creighton,29,77.9,114.5,23.3,57.9,60.04,0.786,0.516,0.421,3,187,2.01613716,49,99.9444,6.39356,33.5862,0.3103,3.3103,4.3103,1.2759,0.069,15.8276,Scoring PG,Yes,Yes,0
8,Quentin Grimes,Houston,30,79.4,118.2,25.3,52.3,55.77,0.788,0.41,0.403,3,195,1.07276494,25,90.3659,8.00766,32.8,1.6,4.1,1.9667,1.4,0.3,17.8333,Wing G,Yes,Yes,0
9,Trey Murphy III,Virginia,25,73.5,127.9,17.3,63.9,66.99,0.927,0.62,0.433,3,205,1.57894745,17,100.979,7.65856,29.56,0.6000000000000001,2.8,1.2,0.8,0.44,11.28,Wing F,Yes,Yes,0
10,Jason Preston,Ohio,19,68.4,112.7,24.9,56.9,57.41,0.596,0.5650000000000001,0.385,3,193,2.41666667,33,99.8009,7.17366,34.55,1.05,6.2,7.25,1.45,0.25,15.7,Scoring PG,Yes,Yes,0
11,Raiquan Gray,Florida St.,25,65.1,109.9,23.5,53.6,58.2,0.763,0.558,0.267,3,203,1.0,59,94.1902,7.54953,26.32,1.48,4.92,2.2,1.2,0.72,11.88,Wing F,Yes,Yes,0
12,Charles Bassey,Western Kentucky,28,72.8,118.2,25.4,61.7,64.31,0.759,0.652,0.305,3,210,0.30646256,53,89.4757,7.27597,30.4286,3.2857,8.3214,0.6786,0.3929,3.1071,17.6429,C,Yes,Yes,0
13,Dalano Banton,Nebraska,26,68.4,92.6,22.8,44.6,48.63,0.667,0.496,0.241,2,205,1.5671570300000002,46,100.274,4.53524,27.2593,1.0,4.8889,3.8889,0.963,0.9259,9.5556,Stretch 4,Yes,Yes,0
